iter,TPR,SHD
1,0.4038,0.6923
2,0.5,0.5577
3,0.5,0.5577
1,0.3077,0.7885
2,0.4615,0.5962
3,0.4615,0.5962
4,0.4808,0.5769
1,0.3462,0.7308
2,0.5,0.5577
3,0.4808,0.5962
4,0.4808,0.5769
1,0.3269,0.75
2,0.4231,0.6538
3,0.4038,0.6731
4,0.4808,0.5577
5,0.4231,0.6346
1,0.2885,0.8269
2,0.4038,0.6731
1,0.3654,0.7885
2,0.3846,0.7115
3,0.3846,0.7115
1,0.3462,0.7885
2,0.5192,0.5577
3,0.5962,0.4423
1,0.3654,0.7885
2,0.6154,0.4231
3,0.6538,0.3846
1,0.4038,0.7115
2,0.5769,0.4808
3,0.6154,0.4231
1,0.4231,0.6538
2,0.5962,0.4231
3,0.6154,0.4038
4,0.6154,0.4038
1,0.4615,0.6538
2,0.6346,0.4038
3,0.6346,0.4038
1,0.4038,0.7308
2,0.5769,0.5192
3,0.5962,0.4808
