iter,TPR,SHD
1,0.5769,0.4615
2,0.6154,0.4038
3,0.6346,0.3846
1,0.6346,0.4038
2,0.5962,0.4423
3,0.6346,0.4038
4,0.6346,0.3846
1,0.6346,0.4038
2,0.6154,0.4615
3,0.6346,0.3846
1,0.5385,0.5192
2,0.5385,0.5385
3,0.5769,0.4808
4,0.5962,0.4423
1,0.5962,0.4808
2,0.5962,0.4423
1,0.5769,0.5
2,0.6154,0.4423
3,0.6154,0.4231
1,0.7308,0.2885
2,0.7115,0.2885
3,0.7308,0.2692
1,0.7115,0.3077
2,0.75,0.2692
1,0.7692,0.25
2,0.75,0.25
3,0.7692,0.2308
1,0.7308,0.2885
2,0.7692,0.25
3,0.7692,0.25
4,0.8077,0.1923
1,0.7308,0.3077
2,0.7692,0.2692
1,0.75,0.3077
2,0.7308,0.3462
3,0.7308,0.3269
4,0.75,0.3077
